,YEAR,SOCIETY,NomSpaceE_Start,NomSpaceE_End,SpecSpaceE_Start,SpecSpaceE_End,VSpecSpaceE_Start
0,1870,NVR,331.0,0.0,63.0,22.0,73.0
1,1872,NVR,450.0,0.0,129.0,34.0,224.0
2,1874,NVR,320.0,0.0,70.0,8.0,278.0
3,1875,NVR,241.0,0.0,117.0,10.0,247.0
4,1877,NVR,455.0,0.0,104.0,4.0,520.0
5,1880,NVR,447.0,0.0,246.0,14.0,609.0
6,1881,NVR,99.0,0.0,149.0,11.0,850.0
7,1882,NVR,49.0,0.0,179.0,7.0,495.0
8,1883,NVR,77.0,0.0,184.0,14.0,508.0
9,1884,NVR,74.0,0.0,247.0,5.0,730.0
10,1885,NVR,74.0,0.0,182.0,17.0,767.0
11,1886,NVR,70.0,0.0,169.0,6.0,415.0
12,1887,NVR,61.0,0.0,169.0,6.0,424.0
13,1888,NVR,88.0,0.0,163.0,2.0,406.0
14,1889,NVR,43.0,0.0,203.0,6.0,382.0
15,1890,NVR,19.0,0.0,114.0,1.0,414.0
16,1891,NVR,86.0,0.0,86.0,2.0,486.0
17,1892,NVR,33.0,0.0,109.0,9.0,457.0
18,1893,NVR,56.0,0.0,105.0,0.0,526.0
19,1894,NVR,94.0,0.0,82.0,14.0,592.0
20,1895,NVR,232.0,0.0,57.0,10.0,461.0
21,1897,NVR,192.0,0.0,44.0,3.0,431.0
22,1898,NVR,192.0,0.0,44.0,3.0,431.0
23,1899,NVR,103.0,0.0,30.0,11.0,447.0
24,1900,NVR,229.0,0.0,32.0,14.0,412.0
25,1901,NVR,111.0,0.0,21.0,2.0,364.0
26,1902,NVR,200.0,0.0,11.0,0.0,402.0
27,1903,NVR,26.0,0.0,17.0,2.0,358.0
28,1904,NVR,193.0,0.0,42.0,22.0,365.0
29,1905,NVR,385.0,0.0,133.0,41.0,469.0
30,1906,NVR,181.0,0.0,96.0,13.0,475.0
31,1907,NVR,383.0,0.0,62.0,16.0,692.0
32,1908,NVR,222.0,0.0,54.0,7.0,498.0
33,1909,NVR,233.0,0.0,107.0,23.0,669.0
34,1910,NVR,235.0,0.0,65.0,9.0,688.0
35,1911,NVR,326.0,0.0,118.0,11.0,523.0
36,1912,NVR,153.0,0.0,122.0,36.0,621.0
37,1913,NVR,167.0,0.0,129.0,14.0,551.0
38,1915,NVR,153.0,0.0,94.0,13.0,575.0
39,1924,NVR,338.0,0.0,119.0,11.0,575.0
total,,,7421.0,0.0,4267.0,453.0,19410.0
