lines,words,characters,file
    3980 ,   32420 ,  173454 ,1886_NVR_Cor_29.txt
    4109 ,   30187 ,  168946 ,1890_NVR_Cor_33.txt
    4196 ,   35901 ,  188263 ,1885_NVR_Cor_28.txt
    4448 ,   35165 ,  194023 ,1887_NVR_Cor_30.txt
    4497 ,   34725 ,  196802 ,1882_NVR_Cor_25.txt
    4586 ,   39046 ,  215544 ,1881_NVR_Cor_24.txt
    4768 ,   39281 ,  215158 ,1888_NVR_Cor_31.txt
    4975 ,   44047 ,  229664 ,1884_NVR_Cor_27.txt
    4979 ,   39961 ,  234923 ,1901_NVR_Cor_44.txt
    5180 ,   43021 ,  234238 ,1891_NVR_Cor_34.txt
    5391 ,   41304 ,  237240 ,1883_NVR_Cor_26.txt
    5415 ,   41253 ,  232226 ,1893_NVR_Cor_36.txt
    5573 ,   44007 ,  244879 ,1889_NVR_Cor_32.txt
    5694 ,   40264 ,  236720 ,1892_NVR_Cor_35.txt
    5942 ,   55959 ,  292878 ,1911_NVR_Cor_54.txt
    6394 ,   50334 ,  295895 ,1897_NVR_Cor_40.txt
    6394 ,   50334 ,  295895 ,1898_NVR_Cor_41.txt
    6438 ,   66710 ,  369932 ,1913_NVR_Cor_56.txt
    6574 ,   48850 ,  318417 ,1903_NVR_Cor_46.txt
    7083 ,   51755 ,  324866 ,1894_NVR_Cor_37.txt
    7587 ,   62203 ,  368340 ,1895_NVR_Cor_38.txt
    7810 ,   68638 ,  404928 ,1870_NVR_Cor_18.txt
    7852 ,   63980 ,  377825 ,1875_NVR_Cor_21.txt
    7999 ,   66203 ,  394615 ,1874_NVR_Cor_20.txt
    8005 ,   78306 ,  457027 ,1910_NVR_Cor_53.txt
    8025 ,   66482 ,  397989 ,1902_NVR_Cor_45.txt
    8394 ,   86494 ,  498172 ,1924_NVR_Cor_58.txt
    8413 ,   77314 ,  408977 ,1880_NVR_Cor_23.txt
    8531 ,   73125 ,  410607 ,1872_NVR_Cor_19.txt
    8573 ,   77825 ,  427884 ,1877_NVR_Cor_22.txt
    8715 ,   70615 ,  432055 ,1904_NVR_Cor_47.txt
    8727 ,   80304 ,  491876 ,1912_NVR_Cor_55.txt
    9080 ,   75847 ,  471047 ,1906_NVR_Cor_49.txt
    9562 ,   86635 ,  520786 ,1908_NVR_Cor_51.txt
   10666 ,  100684 ,  633363 ,1915_NVR_Cor_57.txt
   10869 ,   80421 ,  498059 ,1899_NVR_Cor_42.txt
   11202 ,   94528 ,  601433 ,1900_NVR_Cor_43.txt
   11842 ,  108896 ,  679370 ,1909_NVR_Cor_52.txt
   13542 ,  117271 ,  704105 ,1905_NVR_Cor_48.txt
   13796 ,  120833 ,  733908 ,1907_NVR_Cor_50.txt
  295806 , 2521128 ,14812329 ,total
